Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
1;0.4774463176727295;197.29220639172138;197.29220639172138;25.25;25.25
2;1.801574945449829;412.1751245850614;412.1751245850614;328.15339359799776;248.73211420516137
3;7.232383966445923;679.7553137676177;679.7553137676177;660.0656553660452;556.8843426932553
4;13.469653606414795;679.7553137676177;595.4976974755058;574.0014950807252;563.0355439246765
5;19.20840311050415;679.7553137676177;604.5665065990208;579.0525613598038;546.2811972435829
6;25.364163875579834;679.7553137676177;609.4896133401971;594.0944077416511;505.210132863336
7;31.473622798919678;679.7553137676177;524.3883847344846;483.0156480092554;482.4726994846504
8;37.638893842697144;679.7553137676177;623.8759447181463;606.6266135695064;602.4599427546278
9;44.23780059814453;679.7553137676177;643.3979047175987;613.4542656378553;606.9188279220102
10;50.97030806541443;734.5298984938406;734.5298984938406;707.7963010502069;695.8903761946281
11;57.465086936950684;734.5298984938406;651.8207663046269;559.7090342834649;520.198102802161
12;63.552499532699585;734.5298984938406;672.2661156586372;623.1908547835137;586.0714197430259
13;69.96739196777344;739.5780160345797;739.5780160345797;682.8232404068805;632.4118810948543
14;76.74168014526367;739.5780160345797;725.8852700400674;689.7924430018202;681.4679483003424
15;83.81487846374512;776.4267599963988;776.4267599963988;693.4540916973937;662.8301914510225
16;90.09982013702393;776.4267599963988;651.2975226113853;639.3785000560018;558.5728801153414
17;96.34668588638306;776.4267599963988;477.9250335937404;440.6610640690945;423.7740373356516
18;102.90935039520264;776.4267599963988;718.2512077506086;686.2496177450463;646.9251763533093
19;109.3387439250946;776.4267599963988;602.2054305040724;541.6100388445208;529.8124831406567
20;115.47733950614929;776.4267599963988;655.8866104644934;638.7487450083836;550.209544956742
21;121.71756839752197;776.4267599963988;630.7300756999997;601.7900542616769;556.2600693337819
22;128.40157198905945;776.4267599963988;638.4792395512998;633.8492323136805;598.0423293414392
23;135.14744019508362;776.4267599963988;598.373740769468;593.4991391276445;580.5453420661845
24;141.06801176071167;776.4267599963988;728.9769794882183;617.0234915692525;610.5845787156042
25;146.73215246200562;776.4267599963988;512.9141482374157;469.91726190693123;455.800854839925
26;153.1118447780609;776.4267599963988;599.2422603517782;556.7737894551;547.8666905102649
27;159.08464670181274;776.4267599963988;621.4265898744284;618.6149341560679;539.9293901859587
28;165.6294617652893;776.4267599963988;670.2119802097293;615.2320944129467;614.2997265826742
29;171.2114896774292;776.4267599963988;588.1764258873868;495.3245443925915;469.5790826467171
